time,detector_id,vehicle_count,occupancy,mean_speed,vehicle_ids
5.0,cluster_123281084_3663662939_3664674395_3664674397_#1more_0_D1.1,0,0.0,-1.0,[]
5.0,cluster_123281084_3663662939_3664674395_3664674397_#1more_0_D2.0,0,0.0,-1.0,[]
5.0,cluster_123281084_3663662939_3664674395_3664674397_#1more_0_D2.1,0,0.0,-1.0,[]
5.0,cluster_123281085_12840608127_12840608130_12840608135_#1more_0_D0.0,0,0.0,-1.0,[]
5.0,cluster_123281085_12840608127_12840608130_12840608135_#1more_0_D1.0,0,0.0,-1.0,[]
5.0,cluster_123292026_3663224279_3663224280_3663662945_#1more_0_D0.0,0,0.0,-1.0,[]
5.0,cluster_123292026_3663224279_3663224280_3663662945_#1more_0_D0.1,0,0.0,-1.0,[]
5.0,cluster_123292026_3663224279_3663224280_3663662945_#1more_0_D1.0,0,0.0,-1.0,[]
5.0,cluster_123292026_3663224279_3663224280_3663662945_#1more_0_D1.1,0,0.0,-1.0,[]
5.0,cluster_123292026_3663224279_3663224280_3663662945_#1more_0_D1.2,0,0.0,-1.0,[]
5.0,cluster_123292026_3663224279_3663224280_3663662945_#1more_0_D1.3,0,0.0,-1.0,[]
5.0,cluster_123292026_3663224279_3663224280_3663662945_#1more_0_D2.0,0,0.0,-1.0,[]
5.0,cluster_123292026_3663224279_3663224280_3663662945_#1more_0_D2.1,0,0.0,-1.0,[]
5.0,cluster_123292029_3663224277_3663224278_5344542569_#1more_0_D0.0,0,0.0,-1.0,[]
5.0,cluster_123292029_3663224277_3663224278_5344542569_#1more_0_D0.1,0,0.0,-1.0,[]
5.0,cluster_123292029_3663224277_3663224278_5344542569_#1more_0_D0.2,0,0.0,-1.0,[]
5.0,cluster_123292029_3663224277_3663224278_5344542569_#1more_0_D1.0,0,0.0,-1.0,[]
5.0,cluster_123292029_3663224277_3663224278_5344542569_#1more_0_D1.1,0,0.0,-1.0,[]
5.0,cluster_123292029_3663224277_3663224278_5344542569_#1more_0_D2.0,0,0.0,-1.0,[]
5.0,cluster_123292029_3663224277_3663224278_5344542569_#1more_0_D2.1,0,0.0,-1.0,[]
5.0,cluster_123292029_3663224277_3663224278_5344542569_#1more_0_D2.2,0,0.0,-1.0,[]
5.0,cluster_123292029_3663224277_3663224278_5344542569_#1more_0_D3.0,0,0.0,-1.0,[]
5.0,cluster_123292029_3663224277_3663224278_5344542569_#1more_0_D3.1,0,0.0,-1.0,[]
5.0,cluster_123292031_3663224275_3663224276_3663662936_#1more_0_D0.0,0,0.0,-1.0,[]
5.0,cluster_123292031_3663224275_3663224276_3663662936_#1more_0_D0.1,0,0.0,-1.0,[]
5.0,cluster_123292031_3663224275_3663224276_3663662936_#1more_0_D1.0,0,0.0,-1.0,[]
5.0,cluster_123292031_3663224275_3663224276_3663662936_#1more_0_D2.0,0,0.0,-1.0,[]
5.0,cluster_123292031_3663224275_3663224276_3663662936_#1more_0_D2.1,0,0.0,-1.0,[]
5.0,cluster_123308403_3663827018_3663827019_3664674393_#1more_0_D0.0,0,0.0,-1.0,[]
5.0,cluster_123308403_3663827018_3663827019_3664674393_#1more_0_D0.1,0,0.0,-1.0,[]
5.0,cluster_123308403_3663827018_3663827019_3664674393_#1more_0_D1.0,0,0.0,-1.0,[]
5.0,cluster_123308403_3663827018_3663827019_3664674393_#1more_0_D1.1,0,0.0,-1.0,[]
5.0,cluster_123308403_3663827018_3663827019_3664674393_#1more_0_D1.2,1,0.0,-1.0,['bus0']
5.0,cluster_123308403_3663827018_3663827019_3664674393_#1more_0_D1.3,0,0.0,-1.0,[]
5.0,cluster_123308403_3663827018_3663827019_3664674393_#1more_0_D2.0,0,0.0,-1.0,[]
5.0,cluster_123308403_3663827018_3663827019_3664674393_#1more_0_D2.1,0,0.0,-1.0,[]
5.0,cluster_123308403_3663827018_3663827019_3664674393_#1more_0_D2.2,0,0.0,-1.0,[]
5.0,cluster_3664723686_3698084157_3698084158_3698084159_#1more_0_D0.0,0,0.0,-1.0,[]
5.0,cluster_3664723686_3698084157_3698084158_3698084159_#1more_0_D0.1,0,0.0,-1.0,[]
5.0,cluster_3664723686_3698084157_3698084158_3698084159_#1more_0_D0.2,0,0.0,-1.0,[]
5.0,cluster_3664723686_3698084157_3698084158_3698084159_#1more_0_D1.0,0,0.0,-1.0,[]
5.0,cluster_3664723686_3698084157_3698084158_3698084159_#1more_0_D1.1,0,0.0,-1.0,[]
5.0,cluster_3664723686_3698084157_3698084158_3698084159_#1more_0_D1.2,0,0.0,-1.0,[]
5.0,joinedS_3663662947_3663662948_3698084160_3698084161_#1more_0_D0.0,0,0.0,-1.0,[]
5.0,joinedS_3663662947_3663662948_3698084160_3698084161_#1more_0_D0.1,0,0.0,-1.0,[]
5.0,joinedS_3663662947_3663662948_3698084160_3698084161_#1more_0_D0.2,0,0.0,-1.0,[]
5.0,joinedS_3663662947_3663662948_3698084160_3698084161_#1more_0_D0.3,0,0.0,-1.0,[]
5.0,joinedS_3663662947_3663662948_3698084160_3698084161_#1more_0_D1.0,0,0.0,-1.0,[]
5.0,joinedS_3663662947_3663662948_3698084160_3698084161_#1more_0_D1.1,0,0.0,-1.0,[]
5.0,joinedS_3663662947_3663662948_3698084160_3698084161_#1more_0_D1.2,0,0.0,-1.0,[]
5.0,joinedS_3663662947_3663662948_3698084160_3698084161_#1more_0_D1.3,0,0.0,-1.0,[]
5.0,joinedS_3663662947_3663662948_3698084160_3698084161_#1more_0_D2.0,0,0.0,-1.0,[]
5.0,joinedS_3663662947_3663662948_3698084160_3698084161_#1more_0_D2.1,0,0.0,-1.0,[]
5.0,joinedS_3663662947_3663662948_3698084160_3698084161_#1more_0_D2.2,0,0.0,-1.0,[]
5.0,joinedS_3663662947_3663662948_3698084160_3698084161_#1more_0_D2.3,0,0.0,-1.0,[]
5.0,joinedS_3663662947_3663662948_3698084160_3698084161_#1more_0_D3.0,0,0.0,-1.0,[]
5.0,joinedS_3663662947_3663662948_3698084160_3698084161_#1more_0_D3.1,0,0.0,-1.0,[]
5.0,joinedS_3663662947_3663662948_3698084160_3698084161_#1more_0_D3.2,0,0.0,-1.0,[]
5.0,joinedS_3663662947_3663662948_3698084160_3698084161_#1more_0_D3.3,0,0.0,-1.0,[]
5.0,joinedS_3663662947_3663662948_3698084160_3698084161_#1more_0_D3.4,0,0.0,-1.0,[]
10.0,cluster_122855839_3663662942_3663662943_3663662944_#1more_0_D0.0,0,0.0,-1.0,[]
10.0,cluster_122855839_3663662942_3663662943_3663662944_#1more_0_D0.1,0,0.0,-1.0,[]
10.0,cluster_122855839_3663662942_3663662943_3663662944_#1more_0_D0.2,0,0.0,-1.0,[]
10.0,cluster_122855839_3663662942_3663662943_3663662944_#1more_0_D0.3,0,0.0,-1.0,[]
10.0,cluster_122855839_3663662942_3663662943_3663662944_#1more_0_D0.4,0,0.0,-1.0,[]
10.0,cluster_122855839_3663662942_3663662943_3663662944_#1more_0_D1.0,0,0.0,-1.0,[]
10.0,cluster_122855839_3663662942_3663662943_3663662944_#1more_0_D1.1,0,0.0,-1.0,[]
10.0,cluster_122855839_3663662942_3663662943_3663662944_#1more_0_D1.2,0,0.0,-1.0,[]
10.0,cluster_122855839_3663662942_3663662943_3663662944_#1more_0_D2.0,0,0.0,-1.0,[]
10.0,cluster_122855839_3663662942_3663662943_3663662944_#1more_0_D2.1,1,0.0,-1.0,['veh0']
10.0,cluster_123241924_382443557_5344542568_5546892974_#3more_0_D0.0,0,0.0,-1.0,[]
10.0,cluster_123241924_382443557_5344542568_5546892974_#3more_0_D0.1,0,0.0,-1.0,[]
10.0,cluster_123241924_382443557_5344542568_5546892974_#3more_0_D0.2,0,0.0,-1.0,[]
10.0,cluster_123241924_382443557_5344542568_5546892974_#3more_0_D0.3,0,0.0,-1.0,[]
10.0,cluster_123241924_382443557_5344542568_5546892974_#3more_0_D0.4,0,0.0,-1.0,[]
10.0,cluster_123241924_382443557_5344542568_5546892974_#3more_0_D1.0,0,0.0,-1.0,[]
10.0,cluster_123241924_382443557_5344542568_5546892974_#3more_0_D2.0,0,0.0,-1.0,[]
10.0,cluster_123241924_382443557_5344542568_5546892974_#3more_0_D2.1,0,0.0,-1.0,[]
10.0,cluster_123241924_382443557_5344542568_5546892974_#3more_0_D2.2,0,0.0,-1.0,[]
10.0,cluster_123241924_382443557_5344542568_5546892974_#3more_0_D2.3,0,0.0,-1.0,[]
10.0,cluster_123241924_382443557_5344542568_5546892974_#3more_0_D2.4,0,0.0,-1.0,[]
10.0,cluster_123241924_382443557_5344542568_5546892974_#3more_0_D2.5,0,0.0,-1.0,[]
10.0,cluster_123241924_382443557_5344542568_5546892974_#3more_0_D3.0,0,0.0,-1.0,[]
10.0,cluster_123241924_382443557_5344542568_5546892974_#3more_0_D3.1,0,0.0,-1.0,[]
10.0,cluster_123241924_382443557_5344542568_5546892974_#3more_0_D3.2,0,0.0,-1.0,[]
10.0,cluster_123241924_382443557_5344542568_5546892974_#3more_0_D3.3,0,0.0,-1.0,[]
10.0,cluster_123241924_382443557_5344542568_5546892974_#3more_0_D3.4,0,0.0,-1.0,[]
10.0,cluster_123281084_3663662939_3664674395_3664674397_#1more_0_D0.0,0,0.0,-1.0,[]
10.0,cluster_123281084_3663662939_3664674395_3664674397_#1more_0_D0.1,0,0.0,-1.0,[]
10.0,cluster_123281084_3663662939_3664674395_3664674397_#1more_0_D0.2,0,0.0,-1.0,[]
10.0,cluster_123281084_3663662939_3664674395_3664674397_#1more_0_D0.3,0,0.0,-1.0,[]
10.0,cluster_123281084_3663662939_3664674395_3664674397_#1more_0_D0.4,0,0.0,-1.0,[]
10.0,cluster_123281084_3663662939_3664674395_3664674397_#1more_0_D1.0,0,0.0,-1.0,[]
10.0,cluster_123281084_3663662939_3664674395_3664674397_#1more_0_D1.1,0,0.0,-1.0,[]
10.0,cluster_123281084_3663662939_3664674395_3664674397_#1more_0_D2.0,0,0.0,-1.0,[]
10.0,cluster_123281084_3663662939_3664674395_3664674397_#1more_0_D2.1,0,0.0,-1.0,[]
10.0,cluster_123281085_12840608127_12840608130_12840608135_#1more_0_D0.0,0,0.0,-1.0,[]
10.0,cluster_123281085_12840608127_12840608130_12840608135_#1more_0_D1.0,0,0.0,-1.0,[]
10.0,cluster_123292026_3663224279_3663224280_3663662945_#1more_0_D0.0,0,0.0,-1.0,[]
10.0,cluster_123292026_3663224279_3663224280_3663662945_#1more_0_D0.1,0,0.0,-1.0,[]
10.0,cluster_123292026_3663224279_3663224280_3663662945_#1more_0_D1.0,0,0.0,-1.0,[]
10.0,cluster_123292026_3663224279_3663224280_3663662945_#1more_0_D1.1,0,0.0,-1.0,[]
10.0,cluster_123292026_3663224279_3663224280_3663662945_#1more_0_D1.2,0,0.0,-1.0,[]
10.0,cluster_123292026_3663224279_3663224280_3663662945_#1more_0_D1.3,0,0.0,-1.0,[]
10.0,cluster_123292026_3663224279_3663224280_3663662945_#1more_0_D2.0,0,0.0,-1.0,[]
10.0,cluster_123292026_3663224279_3663224280_3663662945_#1more_0_D2.1,0,0.0,-1.0,[]
10.0,cluster_123292029_3663224277_3663224278_5344542569_#1more_0_D0.0,0,0.0,-1.0,[]
10.0,cluster_123292029_3663224277_3663224278_5344542569_#1more_0_D0.1,0,0.0,-1.0,[]
10.0,cluster_123292029_3663224277_3663224278_5344542569_#1more_0_D0.2,0,0.0,-1.0,[]
10.0,cluster_123292029_3663224277_3663224278_5344542569_#1more_0_D1.0,0,0.0,-1.0,[]
10.0,cluster_123292029_3663224277_3663224278_5344542569_#1more_0_D1.1,0,0.0,-1.0,[]
10.0,cluster_123292029_3663224277_3663224278_5344542569_#1more_0_D2.0,0,0.0,-1.0,[]
10.0,cluster_123292029_3663224277_3663224278_5344542569_#1more_0_D2.1,0,0.0,-1.0,[]
10.0,cluster_123292029_3663224277_3663224278_5344542569_#1more_0_D2.2,0,0.0,-1.0,[]
10.0,cluster_123292029_3663224277_3663224278_5344542569_#1more_0_D3.0,0,0.0,-1.0,[]
10.0,cluster_123292029_3663224277_3663224278_5344542569_#1more_0_D3.1,0,0.0,-1.0,[]
10.0,cluster_123292031_3663224275_3663224276_3663662936_#1more_0_D0.0,0,0.0,-1.0,[]
10.0,cluster_123292031_3663224275_3663224276_3663662936_#1more_0_D0.1,0,0.0,-1.0,[]
10.0,cluster_123292031_3663224275_3663224276_3663662936_#1more_0_D1.0,0,0.0,-1.0,[]
10.0,cluster_123292031_3663224275_3663224276_3663662936_#1more_0_D2.0,0,0.0,-1.0,[]
10.0,cluster_123292031_3663224275_3663224276_3663662936_#1more_0_D2.1,1,39.639265953367975,12.613755274585683,['veh1']
10.0,cluster_123308403_3663827018_3663827019_3664674393_#1more_0_D0.0,0,0.0,-1.0,[]
10.0,cluster_123308403_3663827018_3663827019_3664674393_#1more_0_D0.1,0,0.0,-1.0,[]
10.0,cluster_123308403_3663827018_3663827019_3664674393_#1more_0_D1.0,0,0.0,-1.0,[]
10.0,cluster_123308403_3663827018_3663827019_3664674393_#1more_0_D1.1,0,0.0,-1.0,[]
10.0,cluster_123308403_3663827018_3663827019_3664674393_#1more_0_D1.2,0,0.0,-1.0,[]
10.0,cluster_123308403_3663827018_3663827019_3664674393_#1more_0_D1.3,0,0.0,-1.0,[]
10.0,cluster_123308403_3663827018_3663827019_3664674393_#1more_0_D2.0,0,0.0,-1.0,[]
10.0,cluster_123308403_3663827018_3663827019_3664674393_#1more_0_D2.1,0,0.0,-1.0,[]
10.0,cluster_123308403_3663827018_3663827019_3664674393_#1more_0_D2.2,0,0.0,-1.0,[]
10.0,cluster_3664723686_3698084157_3698084158_3698084159_#1more_0_D0.0,0,0.0,-1.0,[]
10.0,cluster_3664723686_3698084157_3698084158_3698084159_#1more_0_D0.1,0,0.0,-1.0,[]
10.0,cluster_3664723686_3698084157_3698084158_3698084159_#1more_0_D0.2,0,0.0,-1.0,[]
10.0,cluster_3664723686_3698084157_3698084158_3698084159_#1more_0_D1.0,0,0.0,-1.0,[]
10.0,cluster_3664723686_3698084157_3698084158_3698084159_#1more_0_D1.1,0,0.0,-1.0,[]
10.0,cluster_3664723686_3698084157_3698084158_3698084159_#1more_0_D1.2,0,0.0,-1.0,[]
10.0,joinedS_3663662947_3663662948_3698084160_3698084161_#1more_0_D0.0,0,0.0,-1.0,[]
10.0,joinedS_3663662947_3663662948_3698084160_3698084161_#1more_0_D0.1,0,0.0,-1.0,[]
10.0,joinedS_3663662947_3663662948_3698084160_3698084161_#1more_0_D0.2,0,0.0,-1.0,[]
10.0,joinedS_3663662947_3663662948_3698084160_3698084161_#1more_0_D0.3,0,0.0,-1.0,[]
10.0,joinedS_3663662947_3663662948_3698084160_3698084161_#1more_0_D1.0,0,0.0,-1.0,[]
10.0,joinedS_3663662947_3663662948_3698084160_3698084161_#1more_0_D1.1,0,0.0,-1.0,[]
10.0,joinedS_3663662947_3663662948_3698084160_3698084161_#1more_0_D1.2,0,0.0,-1.0,[]
10.0,joinedS_3663662947_3663662948_3698084160_3698084161_#1more_0_D1.3,0,0.0,-1.0,[]
10.0,joinedS_3663662947_3663662948_3698084160_3698084161_#1more_0_D2.0,0,0.0,-1.0,[]
10.0,joinedS_3663662947_3663662948_3698084160_3698084161_#1more_0_D2.1,0,0.0,-1.0,[]
10.0,joinedS_3663662947_3663662948_3698084160_3698084161_#1more_0_D2.2,0,0.0,-1.0,[]
10.0,joinedS_3663662947_3663662948_3698084160_3698084161_#1more_0_D2.3,1,100.0,0.0,['veh5']
10.0,joinedS_3663662947_3663662948_3698084160_3698084161_#1more_0_D3.0,0,0.0,-1.0,[]
10.0,joinedS_3663662947_3663662948_3698084160_3698084161_#1more_0_D3.1,0,0.0,-1.0,[]
10.0,joinedS_3663662947_3663662948_3698084160_3698084161_#1more_0_D3.2,0,0.0,-1.0,[]
10.0,joinedS_3663662947_3663662948_3698084160_3698084161_#1more_0_D3.3,0,0.0,-1.0,[]
10.0,joinedS_3663662947_3663662948_3698084160_3698084161_#1more_0_D3.4,0,0.0,-1.0,[]
15.0,cluster_122855839_3663662942_3663662943_3663662944_#1more_0_D0.0,0,0.0,-1.0,[]
15.0,cluster_122855839_3663662942_3663662943_3663662944_#1more_0_D0.1,0,0.0,-1.0,[]
15.0,cluster_122855839_3663662942_3663662943_3663662944_#1more_0_D0.2,0,0.0,-1.0,[]
15.0,cluster_122855839_3663662942_3663662943_3663662944_#1more_0_D0.3,0,0.0,-1.0,[]
15.0,cluster_122855839_3663662942_3663662943_3663662944_#1more_0_D0.4,0,0.0,-1.0,[]
15.0,cluster_122855839_3663662942_3663662943_3663662944_#1more_0_D1.0,0,0.0,-1.0,[]
15.0,cluster_122855839_3663662942_3663662943_3663662944_#1more_0_D1.1,0,0.0,-1.0,[]
15.0,cluster_122855839_3663662942_3663662943_3663662944_#1more_0_D1.2,0,0.0,-1.0,[]
15.0,cluster_122855839_3663662942_3663662943_3663662944_#1more_0_D2.0,0,0.0,-1.0,[]
15.0,cluster_122855839_3663662942_3663662943_3663662944_#1more_0_D2.1,0,0.0,-1.0,[]
15.0,cluster_123241924_382443557_5344542568_5546892974_#3more_0_D0.0,0,0.0,-1.0,[]
15.0,cluster_123241924_382443557_5344542568_5546892974_#3more_0_D0.1,0,0.0,-1.0,[]
15.0,cluster_123241924_382443557_5344542568_5546892974_#3more_0_D0.2,0,0.0,-1.0,[]
15.0,cluster_123241924_382443557_5344542568_5546892974_#3more_0_D0.3,0,0.0,-1.0,[]
15.0,cluster_123241924_382443557_5344542568_5546892974_#3more_0_D0.4,0,0.0,-1.0,[]
15.0,cluster_123241924_382443557_5344542568_5546892974_#3more_0_D1.0,0,0.0,-1.0,[]
15.0,cluster_123241924_382443557_5344542568_5546892974_#3more_0_D2.0,0,0.0,-1.0,[]
15.0,cluster_123241924_382443557_5344542568_5546892974_#3more_0_D2.1,0,0.0,-1.0,[]
15.0,cluster_123241924_382443557_5344542568_5546892974_#3more_0_D2.2,0,0.0,-1.0,[]
15.0,cluster_123241924_382443557_5344542568_5546892974_#3more_0_D2.3,0,0.0,-1.0,[]
15.0,cluster_123241924_382443557_5344542568_5546892974_#3more_0_D2.4,0,0.0,-1.0,[]
15.0,cluster_123241924_382443557_5344542568_5546892974_#3more_0_D2.5,0,0.0,-1.0,[]
15.0,cluster_123241924_382443557_5344542568_5546892974_#3more_0_D3.0,0,0.0,-1.0,[]
15.0,cluster_123241924_382443557_5344542568_5546892974_#3more_0_D3.1,0,0.0,-1.0,[]
15.0,cluster_123241924_382443557_5344542568_5546892974_#3more_0_D3.2,0,0.0,-1.0,[]
15.0,cluster_123241924_382443557_5344542568_5546892974_#3more_0_D3.3,0,0.0,-1.0,[]
15.0,cluster_123241924_382443557_5344542568_5546892974_#3more_0_D3.4,0,0.0,-1.0,[]
15.0,cluster_123281084_3663662939_3664674395_3664674397_#1more_0_D0.0,0,0.0,-1.0,[]
15.0,cluster_123281084_3663662939_3664674395_3664674397_#1more_0_D0.1,0,0.0,-1.0,[]
15.0,cluster_123281084_3663662939_3664674395_3664674397_#1more_0_D0.2,0,0.0,-1.0,[]
15.0,cluster_123281084_3663662939_3664674395_3664674397_#1more_0_D0.3,0,0.0,-1.0,[]
15.0,cluster_123281084_3663662939_3664674395_3664674397_#1more_0_D0.4,0,0.0,-1.0,[]
15.0,cluster_123281084_3663662939_3664674395_3664674397_#1more_0_D1.0,0,0.0,-1.0,[]
15.0,cluster_123281084_3663662939_3664674395_3664674397_#1more_0_D1.1,0,0.0,-1.0,[]
15.0,cluster_123281084_3663662939_3664674395_3664674397_#1more_0_D2.0,0,0.0,-1.0,[]
15.0,cluster_123281084_3663662939_3664674395_3664674397_#1more_0_D2.1,0,0.0,-1.0,[]
15.0,cluster_123281085_12840608127_12840608130_12840608135_#1more_0_D0.0,0,0.0,-1.0,[]
15.0,cluster_123281085_12840608127_12840608130_12840608135_#1more_0_D1.0,0,0.0,-1.0,[]
15.0,cluster_123292026_3663224279_3663224280_3663662945_#1more_0_D0.0,0,0.0,-1.0,[]
15.0,cluster_123292026_3663224279_3663224280_3663662945_#1more_0_D0.1,0,0.0,-1.0,[]
15.0,cluster_123292026_3663224279_3663224280_3663662945_#1more_0_D1.0,0,0.0,-1.0,[]
15.0,cluster_123292026_3663224279_3663224280_3663662945_#1more_0_D1.1,0,0.0,-1.0,[]
15.0,cluster_123292026_3663224279_3663224280_3663662945_#1more_0_D1.2,0,0.0,-1.0,[]
15.0,cluster_123292026_3663224279_3663224280_3663662945_#1more_0_D1.3,0,0.0,-1.0,[]
15.0,cluster_123292026_3663224279_3663224280_3663662945_#1more_0_D2.0,0,0.0,-1.0,[]
15.0,cluster_123292026_3663224279_3663224280_3663662945_#1more_0_D2.1,0,0.0,-1.0,[]
15.0,cluster_123292029_3663224277_3663224278_5344542569_#1more_0_D0.0,0,0.0,-1.0,[]
15.0,cluster_123292029_3663224277_3663224278_5344542569_#1more_0_D0.1,0,0.0,-1.0,[]
15.0,cluster_123292029_3663224277_3663224278_5344542569_#1more_0_D0.2,0,0.0,-1.0,[]
15.0,cluster_123292029_3663224277_3663224278_5344542569_#1more_0_D1.0,0,0.0,-1.0,[]
15.0,cluster_123292029_3663224277_3663224278_5344542569_#1more_0_D1.1,0,0.0,-1.0,[]
15.0,cluster_123292029_3663224277_3663224278_5344542569_#1more_0_D2.0,0,0.0,-1.0,[]
15.0,cluster_123292029_3663224277_3663224278_5344542569_#1more_0_D2.1,0,0.0,-1.0,[]
15.0,cluster_123292029_3663224277_3663224278_5344542569_#1more_0_D2.2,0,0.0,-1.0,[]
15.0,cluster_123292029_3663224277_3663224278_5344542569_#1more_0_D3.0,0,0.0,-1.0,[]
15.0,cluster_123292029_3663224277_3663224278_5344542569_#1more_0_D3.1,0,0.0,-1.0,[]
15.0,cluster_123292031_3663224275_3663224276_3663662936_#1more_0_D0.0,0,0.0,-1.0,[]
15.0,cluster_123292031_3663224275_3663224276_3663662936_#1more_0_D0.1,0,0.0,-1.0,[]
15.0,cluster_123292031_3663224275_3663224276_3663662936_#1more_0_D1.0,0,0.0,-1.0,[]
15.0,cluster_123292031_3663224275_3663224276_3663662936_#1more_0_D2.0,0,0.0,-1.0,[]
15.0,cluster_123292031_3663224275_3663224276_3663662936_#1more_0_D2.1,0,0.0,-1.0,[]
15.0,cluster_123308403_3663827018_3663827019_3664674393_#1more_0_D0.0,0,0.0,-1.0,[]
15.0,cluster_123308403_3663827018_3663827019_3664674393_#1more_0_D0.1,0,0.0,-1.0,[]
15.0,cluster_123308403_3663827018_3663827019_3664674393_#1more_0_D1.0,0,0.0,-1.0,[]
15.0,cluster_123308403_3663827018_3663827019_3664674393_#1more_0_D1.1,0,0.0,-1.0,[]
15.0,cluster_123308403_3663827018_3663827019_3664674393_#1more_0_D1.2,0,0.0,-1.0,[]
15.0,cluster_123308403_3663827018_3663827019_3664674393_#1more_0_D1.3,0,0.0,-1.0,[]
15.0,cluster_123308403_3663827018_3663827019_3664674393_#1more_0_D2.0,0,0.0,-1.0,[]
15.0,cluster_123308403_3663827018_3663827019_3664674393_#1more_0_D2.1,0,0.0,-1.0,[]
15.0,cluster_123308403_3663827018_3663827019_3664674393_#1more_0_D2.2,0,0.0,-1.0,[]
15.0,cluster_3664723686_3698084157_3698084158_3698084159_#1more_0_D0.0,0,0.0,-1.0,[]
15.0,cluster_3664723686_3698084157_3698084158_3698084159_#1more_0_D0.1,0,0.0,-1.0,[]
15.0,cluster_3664723686_3698084157_3698084158_3698084159_#1more_0_D0.2,0,0.0,-1.0,[]
15.0,cluster_3664723686_3698084157_3698084158_3698084159_#1more_0_D1.0,0,0.0,-1.0,[]
15.0,cluster_3664723686_3698084157_3698084158_3698084159_#1more_0_D1.1,0,0.0,-1.0,[]
15.0,cluster_3664723686_3698084157_3698084158_3698084159_#1more_0_D1.2,0,0.0,-1.0,[]
15.0,joinedS_3663662947_3663662948_3698084160_3698084161_#1more_0_D0.0,0,0.0,-1.0,[]
15.0,joinedS_3663662947_3663662948_3698084160_3698084161_#1more_0_D0.1,0,0.0,-1.0,[]
15.0,joinedS_3663662947_3663662948_3698084160_3698084161_#1more_0_D0.2,0,0.0,-1.0,[]
15.0,joinedS_3663662947_3663662948_3698084160_3698084161_#1more_0_D0.3,0,0.0,-1.0,[]
